,IGFBP1,IL12RB2,IL1R2,COL17A1,PKP1,CNV_Xq11.2,CNV_17q24.3,CNV_7q36.3,CNV_3p21.32,CNV_14q31.1,CNV_3q26.32,CNV_8p23.2,CNV_3p,CNV_1q43,CNV_Xq23,CNV_4q34.3,CNV_8q24.22,CNV_1q24.1,CNV_2q37.3,CNV_9p21.3,CNV_13q13.3,CNV_6q26,CNV_Xp22.2,CNV_1q32.1,CNV_3p25.3,CNV_5q35.1,CNV_1p36.23,CNV_1p31.1,CNV_10p14,CNV_4q32.1,CNV_10q23.31,CNV_9p23,CNV_3p12.2,CNV_3q11.2,CNV_Xp11.4
TCGA-B0-4700,688.78,14.89,3794.3,30.78,22.43,-0.0096806,0.010842,0.095508,-0.08206,-0.00041585,0.051672,-0.097968,0.0,0.10249,-0.0096806,0.0,-0.029857,0.019028,-0.038553,-0.070536,-0.098155,-0.090195,-0.0096806,0.019028,-0.08206,0.11594,-0.11525,0.019028,-0.063435,0.0,-0.063435,-0.070536,-0.08206,-0.08206,-0.0096806
TCGA-CZ-5461,9.27,7.88,334.46,1.48,164.42,0.1006,0.0012481,0.23876,-0.45304,-0.23419,0.93588,-0.012024,-0.453,0.012097,0.1114,-0.22121,-0.012024,0.012097,0.23597,-0.43659,0.24389,0.0,0.1006,0.012097,-0.45304,0.262,0.012097,0.012097,-0.082137,-0.22121,-0.082137,-0.43659,-0.45304,-0.45304,0.1006
TCGA-B0-5701,267.73,117.6,633.73,173.85,281.09,-0.018436,0.055088,0.51385,-0.54229,-0.53012,-0.0077482,-0.013127,-0.535,0.49701,-0.018436,-0.52573,0.5245,0.022865,-0.0026322,-0.52645,-0.0044312,0.0095883,-0.018436,0.48564,-0.54229,0.53428,-0.48281,0.022865,0.013772,-0.52573,0.0091909,-0.52645,-0.0077482,-0.0077482,-0.018436
TCGA-CZ-5985,121.79,1088.92,289.02,82.29,1.81,-0.12252,-0.01354,0.0,-0.57397,-0.57812,0.012655,-0.00013862,-0.574,-0.01849,-0.12252,0.010424,-0.00013862,-0.01849,-0.62765,-0.58038,0.0036076,-0.57664,-0.12252,-0.01849,-0.57397,0.55655,-0.01849,-0.01849,-0.0015243,0.010424,0.0069435,-0.58038,-0.57397,-0.57397,-0.12252
TCGA-B0-5694,7.88,11.47,1175.27,2.41,4.39,-0.010633,0.014063,0.53362,-0.59429,-0.16357,0.0023581,0.0012481,-0.594,0.0072217,-0.010633,-0.011029,-0.0040162,0.0072217,-0.0073339,-0.58508,-0.0013858,-0.0019399,-0.010633,0.0072217,-0.60592,0.54983,0.0072217,0.0072217,-0.0042929,-0.011029,0.0,-0.60011,-0.60033,0.0023581,-0.010633
TCGA-B0-5705,1.06,7.94,40.07,5.96,2.46,-0.1067,0.014051,-0.011887,-0.62245,0.0015255,0.0,-0.019285,0.0,0.0055529,-0.1067,-0.014046,-0.007472,0.0055529,-0.0032749,0.002015,-0.0080244,-0.0030475,-0.1067,0.0055529,-0.64924,0.6257,0.0055529,0.0055529,-0.01243,-0.014046,-0.0024938,-0.0074073,0.0,0.0,-0.1067
TCGA-B0-5706,40.07,13.83,173.85,1.48,176.29,-0.029277,-0.0094046,-0.0030475,-0.41476,-0.0020784,0.0065262,0.0011093,-0.414,0.0037465,-0.029277,0.0037465,0.0011093,0.39961,0.0,-0.00069303,0.0024969,0.0051488,-0.029277,0.0037465,-0.41476,-0.0012473,0.00041593,0.00041593,-0.010646,0.0037465,-0.42931,-0.00069303,-0.41531,-0.41531,-0.029277
TCGA-CZ-5458,54.72,1159.07,961.07,5.5,69.52,0.20091,-0.00041585,-0.010784,-0.49496,0.0040243,-0.0012576,-0.011841,-0.488,-0.0008316,0.20091,-0.0019399,-0.0087146,-0.0008316,0.0069435,0.0043021,0.0012481,0.0015255,-0.53327,-0.0008316,-0.48911,0.48406,0.0,0.0,-0.0051227,-0.0019399,-0.0070425,0.0043021,-0.49496,-0.49496,-0.53327
TCGA-B8-4622,25.17,8.51,872.1,4.5,23.59,0.007262,0.0020805,0.44799,-0.55537,0.00013863,0.001803,-0.0053992,-0.547,0.003191,0.007262,0.0,-0.0053992,0.003191,-0.0040693,-0.50525,-0.0043154,-0.0027707,0.012516,0.003191,-0.55537,-0.003413,0.022304,0.003191,-0.006505,0.0,-0.006505,-0.51959,0.0010851,0.0010851,0.012516
TCGA-B0-5697,16.15,189.02,63.45,356.05,3.59,0.00083195,-0.0098185,-0.0018014,-0.40904,-0.4034,0.0043493,0.0,-0.409,0.0063033,0.00083195,0.0037465,0.0,0.0069435,-0.0069195,-0.0020784,0.0023581,-0.0012473,0.00083195,0.0,-0.40904,0.40289,-0.0056757,0.002787,-0.01354,0.0037465,-0.0080244,-0.0020784,-0.40948,0.011261,0.00083195
TCGA-CW-6088,17.38,3.35,24.28,2.71,55.49,-0.069642,-0.03031,0.023101,-0.52587,-0.0036447,0.010241,-0.52566,-0.526,0.0,-0.069642,0.014565,-0.52566,0.0,0.0046752,-0.0028143,0.0088482,0.003425,-0.069642,0.0,-0.52587,0.011077,-0.012481,-0.012481,-0.0033679,0.014565,-0.0033679,-0.0028143,-0.52587,-0.52587,-0.069642
